name,affiliate_url,asin,category,commission,image_url
"Maybelline Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer, 120, 1 Count",https://amzn.to/46SiDOY,B004Y9GTYE,Beauty,3.0,https://cheapandlazystuff.com/products/B004Y9GTYE.jpg
"CeraVe Skin Renewing Eye Cream For Wrinkles, Under Eye Cream With Peptides + Caffeine + Niacinamide, For Wrinkles & Crows Feet, Paraben Free & Opthalmologist Tested",https://amzn.to/3IAv9tc,B0B3GCCRVH,Beauty,3.0,https://cheapandlazystuff.com/products/B0B3GCCRVH.jpg
"TruSkin Vitamin C Serum For Face – Anti Aging Face Serum with Vitamin C, Hyaluronic Acid, Vitamin E – Brightening Formula – Improve Appearance of Dark Spots, Tone, Fine Lines & Wrinkles, 2 Fl Oz",https://amzn.to/46BGz83,B01EKUBU5Y,Beauty,3.0,https://cheapandlazystuff.com/products/B01EKUBU5Y.jpg
"Bio-Oil Skincare Body Oil Serum, Face and Body Moisturizer with Vitamin E & A, for Scars, Stretch Marks, Sensitive Skin, All Skin Types, Dermatologist Recommended, Non-Comedogenic, 6.7 Oz",https://amzn.to/4ngHXUy,B00AREGVUM,Beauty,3.0,https://cheapandlazystuff.com/products/B00AREGVUM.jpg
SOL DE JANEIRO Brazilian Bum Bum Cream,https://amzn.to/4msGdGR,B09KDMFMX4,Beauty,10.0,https://cheapandlazystuff.com/products/B09KDMFMX4.jpg
"Amazon Basic Care Weekly (7-Day) Pill Organizer, Vitamin Planner, And Medicine Box, Medium Compartments, Blue",https://amzn.to/3IzYnbH,B0BFRWTGZK,Health,1.0,https://cheapandlazystuff.com/products/B0BFRWTGZK.jpg
"BioSilk Hydrating Therapy Pure Moisture Leave-In Spray, Replenishes Hair Moisture & Protects From Frizz, Sulfate, Paraben, & Cruelty-Free, 7 Oz",https://amzn.to/3Kk0Asc,B00J9H8O6C,Hair Care,3.0,https://cheapandlazystuff.com/products/B00J9H8O6C.jpg
"CHI 44 Iron Guard Thermal Protection Spray, Nourishing Formula Helps Resist Heat Damage to Hair & Tame Frizz, 2 Oz",https://amzn.to/4gHkFF5,B004452DPM,Hair Care,3.0,https://cheapandlazystuff.com/products/B004452DPM.jpg
"Crack HAIR FIX Styling Treatment - Multi-Tasking, Anti-Frizz, Leave-In Styling Cream with Protection from Humidity, Chlorine, Heat Treatments & Sun, 3 oz",https://amzn.to/4pDCEA8,B004DHYZU2,Hair Care,3.0,https://cheapandlazystuff.com/products/B004DHYZU2.jpg
"Medix 5.5 Retinol Body Lotion Firming Moisturizer | Crepey Skincare Treatment | Retinol Body Cream | Anti Aging Firming Cream For Women Targets Look Of Crepe Skin, Wrinkles, & Sagging Skin, 15 Fl Oz",https://amzn.to/4gFFuk7,B01N8UM9HR,Beauty,3.0,https://cheapandlazystuff.com/products/B01N8UM9HR.jpg
"Mise En Scene PerfectSerum Original - HairOil for Frizzy & Dry, Hydration and Nutrition Hairy Essence for Damage Care, Korean HairCare Product, Hair Serum 2.71 Fl. Oz.",https://amzn.to/3KiCluI,B081JHTPKP,Hair Care,3.0,https://cheapandlazystuff.com/products/B081JHTPKP.jpg
"Gold Bond Age Renew Neck & Chest Firming Cream, 2 oz – Clinically Tested Moisturizer for Smoother, Firmer Skin",https://amzn.to/4pDDsoE,B01B5D3VOC,Beauty,1.0,https://cheapandlazystuff.com/products/B01B5D3VOC.jpg
PROTOCOL FOR LIFE BALANCE NAC N-Acetyl Cysteine 1000mg - Glutathione Production & Respiratory Function - 120 Tabs,https://amzn.to/3W2FEZl,B01B6SG6ZC,Health,1.0,https://cheapandlazystuff.com/products/B01B6SG6ZC.jpg
"Aligns_Probiotic Daily Supplement (84 Count.) for Digestive Balance - Supports Gut Health, Occasional Gas, Bloating & Abdominal Comfort - Gluten Free, Vegetarian Capsules",https://amzn.to/46CeBsX,B0FMP34X3X,Health,1.0,https://cheapandlazystuff.com/products/B0FMP34X3X.jpg
"NOW Foods L-Carnitine 500 mg, 240 Veg Caps - Fitness Support* - Purest Form - Non-GMO - Vegan/Vegetarian - 500mg Capsules - Amino Acid Health Supplement",https://amzn.to/4nK1nB9,B0CB97GT21,Health,1.0,https://cheapandlazystuff.com/products/B0CB97GT21.jpg
"Source Naturals Berberine Vegetable Capsule, for Gastrointestinal Support* - 120 Vegetarian Capsules",https://amzn.to/3VRyCqx,B0753CVDC6,Health,1.0,https://cheapandlazystuff.com/products/B0753CVDC6.jpg
Trunature Grape Seed & Resveratrol 150 Softgels,https://amzn.to/4pIBtQi,B001TH7JWA,Health,1.0,https://cheapandlazystuff.com/products/B001TH7JWA.jpg
"Carlson Chelated Magnesium 200mg, 180 Tablets",https://amzn.to/4mwKlFO,B001LF39BU,Health,1.0,https://cheapandlazystuff.com/products/B001LF39BU.jpg
"Nordic Naturals Ultimate Omega, Lemon Flavor - 120 Soft Gels - 1280 mg Omega-3 - High-Potency Fish Oil Supplement with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 60 Servings",https://amzn.to/46l6lP8,B002CQU54Q,Health,1.0,https://cheapandlazystuff.com/products/B002CQU54Q.jpg
Banana Boat Continuous Spf#50+ Spray 6 Ounce Sun Comfort (177ml) (2 Pack),https://amzn.to/4njKY6Q,B00XWCSOZ6,Beauty,3.0,https://cheapandlazystuff.com/products/B00XWCSOZ6.jpg
L'Oreal Paris Revitalift Bright Reveal Anti-Aging Facial Cleanser with Glycolic Acid 5 fl. oz (Pack of 2),https://amzn.to/4mB26Uq,B07L6XQW1Q,Beauty,3.0,https://cheapandlazystuff.com/products/B07L6XQW1Q.jpg
"OLLY Max Strength Sleep Gummy, 10mg Melatonin, L-Theanine, Chamomile, Lemon Balm, Sugar Free, Vegetarian Sleep Aid, Strawberry - 50 Count",https://amzn.to/3IFQKjX,B0CB79FWKZ,Health,1.0,https://cheapandlazystuff.com/products/B0CB79FWKZ.jpg
"Clairol Root Touch-Up by Nice'n Easy Permanent Hair Dye, 9A Light Ash Blonde Hair Color, Pack of 2",https://amzn.to/4pANRl6,B019GMWA5K,Hair Care,3.0,https://cheapandlazystuff.com/products/B019GMWA5K.jpg
"L’Oréal Paris Magic Root Permanent Hair Color, 10 Minute Hair Dye Kit to Rescue Roots with 100% Gray Hair Coverage, 9 Light Blonde, 2 Pack",https://amzn.to/4nEjDM8,B084W34G5C,Hair Care,3.0,https://cheapandlazystuff.com/products/B084W34G5C.jpg
"OGX Renewing + Argan Oil of Morocco, Cold-Pressed Argan Oil for Hair Penetrating Treatment & Shine, Moisturizing & Strengthening Silky Oil for All Hair Types, Paraben & Sulfate Free, 3.3 fl oz",https://amzn.to/46QCEp4,B0048EZNR4,Hair Care,3.0,https://cheapandlazystuff.com/products/B0048EZNR4.jpg
"oico Moisture Recovery Moisturizing Conditioner | For Thick, Coarse, Dry Hair | Replenish Moisture | Restore Smoothness & Elasticity | Strengthen & Reduce Breakage | With Jojoba Oil & Shea Butter",https://amzn.to/3Id6fzR,B083M7WZBZ,Hair Care,3.0,https://cheapandlazystuff.com/products/B083M7WZBZ.jpg
"VALITIC Kojic Acid Dark Spot Remover Soap Bars with Vitamin C, Retinol, Collagen, Turmeric - Original Japanese Complex Infused with Hyaluronic Acid, Vitamin E, Shea Butter, Castile Olive Oil - 5 Pack",https://amzn.to/4pCRuqL,B0C8TSZ2CK,Beauty,3.0,https://cheapandlazystuff.com/products/B0C8TSZ2CK.jpg
"Arvazallia Heat Protectant Spray with Argan Oil - Professional Grade Thermal Protector, Leave-in Conditioner, Anti-frizz, and Shine Spray",https://amzn.to/4mB3nLc,B014HJJTTM,Hair Care,3.0,https://cheapandlazystuff.com/products/B014HJJTTM.jpg
"Ezy Dose Weekly (7-Day) AM/PM Pill Organizer, Vitamin and Medicine Box, Small Pop-out Compartments, 2 Times a Day, Blue and Purple Lids",https://amzn.to/46z3Es5,B001THDDFC,Health,1.0,https://cheapandlazystuff.com/products/B001THDDFC.jpg
"Silicone Scalp Massager, Scalp Scrubber for Hair Growth with Soft Bristles, Scalp Exfoliator Brush Dandruff Removal Shampoo Brush for Wet Dry Scalp Care",https://amzn.to/42MxDeN,B0CSWHMD1B,Hair Care,1.0,https://cheapandlazystuff.com/products/B0CSWHMD1B.jpg
"Saltverk Birch Smoked Sea Salt - Gourmet, Icelandic, Hand Harvested and Sustainably Made - 3.17 Oz Jar",https://amzn.to/46z3XmJ,B017NZFVCG,Kitchen,1.0,https://cheapandlazystuff.com/products/B017NZFVCG.jpg
"BUG BITE THING Suction Tool - Bug Bites and Bee/Wasp Stings, Natural Insect Bite Relief- White/3 Pack",https://amzn.to/4gAfKpi,B01EAS3ER8,Household,1.0,https://cheapandlazystuff.com/products/B01EAS3ER8.jpg
"O'Keeffe's Working Hands Hand Cream for Extreme Dryness - 3.4 oz Jar (1 Pack) - Repairing Skincare for Cracked, Dry Hands",https://amzn.to/3W43MLb,B00121UVU0,Beauty,3.0,https://cheapandlazystuff.com/products/B00121UVU0.jpg
"LANEIGE Lip Sleeping Mask: Nourish, Hydrate, Vitamin C, Murumuru & Shea Butter, Antioxidants, Flaky, Dry Lips",https://amzn.to/3VzIdC3,B09HN81KVR,Beauty,10.0,https://cheapandlazystuff.com/products/B09HN81KVR.jpg
"L.A. COLORS Metal Nail Polish, Metallica CNL158",https://amzn.to/3IgZw82,B07XF623PG,Beauty,3.0,https://cheapandlazystuff.com/products/B07XF623PG.jpg
"4PCS Soft Rubber Nail Polish Bottle Holder, Nail Polishes Stand, Anti-spill Bottle Stand, Painting Manicure Display Tools, Non Tippable Nail Art Supplies, for Nail Polish Organizer Accessories",https://amzn.to/4pDGhpK,B0DZ6RGTLN,Beauty,3.0,https://cheapandlazystuff.com/products/B0DZ6RGTLN.jpg
"Resin Nail Art Palette with 5 Pcs Nail Art Painting Drawing Brushes, Nail Polish Mixing Palette Double-Ended Dotting Pen Nail Art Liner Brush Nail Drawing Brushes for Nail Art Design",https://amzn.to/4pImFRG,B0DYNVPY7X,Beauty,3.0,https://cheapandlazystuff.com/products/B0DYNVPY7X.jpg
"5pcs Nail Art Liner Brushes, Liner Brush For Nails Gel, Painting Art Design Brush Set Nail Dotting Drawing Tool For Long Lines, Thin Details, Fine Drawing Sizes 7/9/11/15/25 mm (Pink)",https://amzn.to/4pAPD5K,B0CHRX1SZS,Beauty,3.0,https://cheapandlazystuff.com/products/B0CHRX1SZS.jpg
"Rechargeable Soft Selfie Light for Phone, Camera, Laptop, 4-14H Battery Portable LED Light for Pictures, Phone Light Clip",https://amzn.to/48gqvez,B0C6551BVY,Electronics,4.0,https://cheapandlazystuff.com/products/B0C6551BVY.jpg
"Cable Clips, Cord Holder, Adhesive Cord Clips, Wire Holder for Cable Management, Phone Charger, Desk, Wall, Nightstand and Office, White 9 PCS",https://amzn.to/3Kk55TC,B07RK94L8J,Electronics,4.0,https://cheapandlazystuff.com/products/B07RK94L8J.jpg
"200PCS Precision Tip Cotton Swabs with Wooden Sticks, Pointed Tip Cotton Swabs for Nail Polish Touch Up, Disposable Makeup Applicators, Cotton Sticks for Makeup, Microblading Supplies",https://amzn.to/48uOXbR,B0CQQ5XJLP,Beauty,3.0,https://cheapandlazystuff.com/products/B0CQQ5XJLP.jpg
"Sally Hansen Nail Salon Pro Brush Kit, 1 Pack, Nail Art Brush Kit, Nail Tools",https://amzn.to/3Kh5Ixk,B09855HCGQ,Beauty,3.0,https://cheapandlazystuff.com/products/B09855HCGQ.jpg
"GAVISCON MAX Relief Acid Reflux & Heartburn, 50 chewable foamtabs",https://amzn.to/429X9dQ,B076Q4G7YZ,Health,1.0,https://cheapandlazystuff.com/products/B076Q4G7YZ.jpg
